1764031094456,ghost,68057,Van,,0,0,INIT,onryo
1764031267077,ghost,68057,Van,,1,0,MOVE,Hallway
1764031267100,ghost,68057,Hallway,,0,0,IDLE,
1764031267122,ghost,68057,Hallway,,1,0,MOVE,Boy's Bedroom
1764031267143,ghost,68057,Boy's Bedroom,,2,0,EVIDENCE,temp
1764031267164,ghost,68057,Boy's Bedroom,,3,0,IDLE,
1764031267185,ghost,68057,Boy's Bedroom,,4,0,MOVE,Hallway
1764031267205,ghost,68057,Hallway,,5,0,IDLE,
1764031267226,ghost,68057,Hallway,,0,0,IDLE,
1764031267247,ghost,68057,Hallway,,1,0,IDLE,
1764031267268,ghost,68057,Hallway,,0,0,EVIDENCE,orbs
1764031267287,ghost,68057,Hallway,,1,0,EVIDENCE,orbs
1764031267308,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1764031267329,ghost,68057,Hallway,,1,0,IDLE,
1764031267350,ghost,68057,Hallway,,0,0,IDLE,
1764031267371,ghost,68057,Hallway,,1,0,IDLE,
1764031267391,ghost,68057,Hallway,,0,0,EVIDENCE,temp
1764031267412,ghost,68057,Hallway,,1,0,EVIDENCE,orbs
1764031267433,ghost,68057,Hallway,,0,0,IDLE,
1764031267454,ghost,68057,Hallway,,1,0,IDLE,
1764031267475,ghost,68057,Hallway,,0,0,EVIDENCE,radio
1764031267495,ghost,68057,Hallway,,1,0,EVIDENCE,orbs
1764031267516,ghost,68057,Hallway,,0,0,IDLE,
1764031267537,ghost,68057,Hallway,,1,0,MOVE,Basement
1764031267558,ghost,68057,Basement,,2,0,EVIDENCE,temp
1764031267578,ghost,68057,Basement,,0,0,EVIDENCE,orbs
1764031267599,ghost,68057,Basement,,1,0,MOVE,Hallway
1764031267620,ghost,68057,Hallway,,2,0,MOVE,Boy's Bedroom
1764031267641,ghost,68057,Boy's Bedroom,,3,0,MOVE,Hallway
1764031267661,ghost,68057,Hallway,,4,0,EVIDENCE,radio
1764031267682,ghost,68057,Hallway,,0,0,IDLE,
1764031267703,ghost,68057,Hallway,,1,0,MOVE,Bathroom
1764031267724,ghost,68057,Bathroom,,2,0,EVIDENCE,temp
1764031267744,ghost,68057,Bathroom,,0,0,IDLE,
1764031267765,ghost,68057,Bathroom,,1,0,IDLE,
1764031267786,ghost,68057,Bathroom,,2,0,EVIDENCE,orbs
1764031267807,ghost,68057,Bathroom,,3,0,EVIDENCE,radio
1764031267827,ghost,68057,Bathroom,,0,0,EVIDENCE,temp
1764031267848,ghost,68057,Bathroom,,1,0,EVIDENCE,orbs
1764031267864,ghost,68057,Bathroom,,2,0,EVIDENCE,orbs
1764031267879,ghost,68057,Bathroom,,3,0,IDLE,
1764031267895,ghost,68057,Bathroom,,4,0,MOVE,Hallway
1764031267910,ghost,68057,Hallway,,0,0,IDLE,
1764031267923,ghost,68057,Hallway,,1,0,EVIDENCE,radio
1764031267936,ghost,68057,Hallway,,0,0,IDLE,
1764031267949,ghost,68057,Hallway,,1,0,MOVE,Basement
1764031267962,ghost,68057,Basement,,2,0,IDLE,
1764031267975,ghost,68057,Basement,,0,0,IDLE,
1764031267989,ghost,68057,Basement,,1,0,EVIDENCE,orbs
1764031268001,ghost,68057,Basement,,2,0,MOVE,Hallway
1764031268012,ghost,68057,Hallway,,0,0,IDLE,
1764031268022,ghost,68057,Hallway,,1,0,MOVE,Master Bedroom
1764031268030,ghost,68057,Master Bedroom,,2,0,IDLE,
1764031268038,ghost,68057,Master Bedroom,,3,0,EVIDENCE,orbs
1764031268046,ghost,68057,Master Bedroom,,4,0,EVIDENCE,radio
1764031268053,ghost,68057,Master Bedroom,,5,0,EVIDENCE,radio
1764031268061,ghost,68057,Master Bedroom,,6,0,EVIDENCE,orbs
1764031268069,ghost,68057,Master Bedroom,,0,0,IDLE,
1764031268077,ghost,68057,Master Bedroom,,1,0,IDLE,
1764031268084,ghost,68057,Master Bedroom,,2,0,IDLE,
1764031268092,ghost,68057,Master Bedroom,,3,0,MOVE,Hallway
1764031268100,ghost,68057,Hallway,,4,0,EVIDENCE,radio
1764031268107,ghost,68057,Hallway,,0,0,IDLE,
1764031268115,ghost,68057,Hallway,,1,0,EVIDENCE,radio
1764031268120,ghost,68057,Hallway,,0,0,IDLE,
1764031268125,ghost,68057,Hallway,,1,0,EVIDENCE,radio
1764031268128,ghost,68057,Hallway,,2,0,EVIDENCE,orbs
1764031268131,ghost,68057,Hallway,,3,0,EVIDENCE,radio
1764031268133,ghost,68057,Hallway,,4,0,EVIDENCE,temp
1764031268136,ghost,68057,Hallway,,5,0,MOVE,Kitchen
1764031268138,ghost,68057,Kitchen,,6,0,EVIDENCE,temp
1764031268141,ghost,68057,Kitchen,,7,0,EVIDENCE,orbs
1764031268143,ghost,68057,Kitchen,,8,0,EVIDENCE,orbs
1764031268146,ghost,68057,Kitchen,,9,0,EVIDENCE,radio
1764031268148,ghost,68057,Kitchen,,10,0,EVIDENCE,radio
1764031268151,ghost,68057,Kitchen,,11,0,MOVE,Garage
1764031268153,ghost,68057,Garage,,12,0,IDLE,
1764031268156,ghost,68057,Garage,,13,0,IDLE,
1764031268158,ghost,68057,Garage,,14,0,IDLE,
1764031268161,ghost,68057,Garage,,15,0,EXIT,
